	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	20	270	126	111	126
CR2	20	0	284	120	103	120
MA1	270	284	0	271	287	271
MA2	126	120	271	0	104	0
MM1	111	103	287	104	0	104
MM2	126	120	271	0	104	0
