	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	152	141	55	143	142
CR2	152	0	88	159	82	81
MA1	141	88	0	146	80	79
MA2	55	159	146	0	146	145
MM1	143	82	80	146	0	1
MM2	142	81	79	145	1	0
