	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	393	145	401	137	190
CR2	393	0	369	150	374	401
MA1	145	369	0	377	170	194
MA2	401	150	377	0	385	408
MM1	137	374	170	385	0	208
MM2	190	401	194	408	208	0
