	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	295	189	253	145	139
CR2	295	0	316	159	313	298
MA1	189	316	0	211	174	176
MA2	253	159	211	0	257	245
MM1	145	313	174	257	0	131
MM2	139	298	176	245	131	0
