	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	265	93	260	144	93
CR2	265	0	264	93	262	264
MA1	93	264	0	255	123	0
MA2	260	93	255	0	258	255
MM1	144	262	123	258	0	123
MM2	93	264	0	255	123	0
