	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	70	33	74	36	31
CR2	70	0	70	18	66	55
MA1	33	70	0	74	34	45
MA2	74	18	74	0	70	59
MM1	36	66	34	70	0	47
MM2	31	55	45	59	47	0
