	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	210	215	50	227	215
CR2	210	0	23	231	63	23
MA1	215	23	0	236	68	0
MA2	50	231	236	0	248	236
MM1	227	63	68	248	0	68
MM2	215	23	0	236	68	0
