	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	228	220	45	210	225
CR2	228	0	129	223	116	127
MA1	220	129	0	217	111	128
MA2	45	223	217	0	205	220
MM1	210	116	111	205	0	100
MM2	225	127	128	220	100	0
