	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	118	17	117	2	1
CR2	118	0	120	33	116	117
MA1	17	120	0	119	17	16
MA2	117	33	119	0	115	116
MM1	2	116	17	115	0	3
MM2	1	117	16	116	3	0
