	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	142	52	183	36	85
CR2	142	0	150	117	134	157
MA1	52	150	0	171	16	77
MA2	183	117	171	0	187	194
MM1	36	134	16	187	0	71
MM2	85	157	77	194	71	0
