	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	149	62	153	55	62
CR2	149	0	159	54	153	159
MA1	62	159	0	162	63	0
MA2	153	54	162	0	154	162
MM1	55	153	63	154	0	63
MM2	62	159	0	162	63	0
