	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	149	348	206	373	348
CR2	149	0	298	330	320	298
MA1	348	298	0	416	244	0
MA2	206	330	416	0	438	416
MM1	373	320	244	438	0	244
MM2	348	298	0	416	244	0
