	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	100	29	98	109	108
CR2	100	0	95	66	85	66
MA1	29	95	0	93	104	103
MA2	98	66	93	0	69	65
MM1	109	85	104	69	0	78
MM2	108	66	103	65	78	0
