	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	298	283	74	301	287
CR2	298	0	73	299	116	134
MA1	283	73	0	276	127	131
MA2	74	299	276	0	294	282
MM1	301	116	127	294	0	132
MM2	287	134	131	282	132	0
