	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	175	173	52	174	173
CR2	175	0	79	177	1	79
MA1	173	79	0	176	78	0
MA2	52	177	176	0	176	176
MM1	174	1	78	176	0	78
MM2	173	79	0	176	78	0
