	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	227	218	47	205	222
CR2	227	0	141	226	132	146
MA1	218	141	0	220	124	143
MA2	47	226	220	0	199	224
MM1	205	132	124	199	0	109
MM2	222	146	143	224	109	0
