	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	219	89	218	218	243
CR2	219	0	221	3	3	96
MA1	89	221	0	220	220	244
MA2	218	3	220	0	0	93
MM1	218	3	220	0	0	93
MM2	243	96	244	93	93	0
