	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	192	87	196	117	87
CR2	192	0	198	20	197	198
MA1	87	198	0	202	98	0
MA2	196	20	202	0	201	202
MM1	117	197	98	201	0	98
MM2	87	198	0	202	98	0
