	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	102	101	6	99	96
CR2	102	0	33	100	19	24
MA1	101	33	0	99	28	23
MA2	6	100	99	0	97	94
MM1	99	19	28	97	0	9
MM2	96	24	23	94	9	0
