	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	211	214	49	211	214
CR2	211	0	95	205	66	95
MA1	214	95	0	208	105	0
MA2	49	205	208	0	205	208
MM1	211	66	105	205	0	105
MM2	214	95	0	208	105	0
