	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	78	93	64	64	46
CR2	78	0	55	98	98	78
MA1	93	55	0	107	107	89
MA2	64	98	107	0	0	60
MM1	64	98	107	0	0	60
MM2	46	78	89	60	60	0
