	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	125	54	128	141	128
CR2	125	0	135	52	79	52
MA1	54	135	0	137	150	137
MA2	128	52	137	0	86	0
MM1	141	79	150	86	0	86
MM2	128	52	137	0	86	0
