	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	247	96	241	37	96
CR2	247	0	236	46	245	236
MA1	96	236	0	230	97	0
MA2	241	46	230	0	239	230
MM1	37	245	97	239	0	97
MM2	96	236	0	230	97	0
