	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	265	272	159	159	134
CR2	265	0	38	277	277	258
MA1	272	38	0	282	282	266
MA2	159	277	282	0	0	151
MM1	159	277	282	0	0	151
MM2	134	258	266	151	151	0
