	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	96	99	89	69	59
CR2	96	0	5	101	94	90
MA1	99	5	0	104	97	93
MA2	89	101	104	0	50	46
MM1	69	94	97	50	0	14
MM2	59	90	93	46	14	0
