	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	244	101	242	116	101
CR2	244	0	245	83	238	245
MA1	101	245	0	241	101	0
MA2	242	83	241	0	236	241
MM1	116	238	101	236	0	101
MM2	101	245	0	241	101	0
