	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	85	87	30	33	30
CR2	85	0	21	83	86	83
MA1	87	21	0	85	88	85
MA2	30	83	85	0	23	0
MM1	33	86	88	23	0	23
MM2	30	83	85	0	23	0
