	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	263	158	264	189	158
CR2	263	0	252	68	266	252
MA1	158	252	0	254	216	0
MA2	264	68	254	0	263	254
MM1	189	266	216	263	0	216
MM2	158	252	0	254	216	0
