	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	224	142	223	142	137
CR2	224	0	225	63	225	208
MA1	142	225	0	220	0	115
MA2	223	63	220	0	220	208
MM1	142	225	0	220	0	115
MM2	137	208	115	208	115	0
