	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	130	93	151	91	89
CR2	130	0	127	61	140	153
MA1	93	127	0	143	80	83
MA2	151	61	143	0	158	165
MM1	91	140	80	158	0	71
MM2	89	153	83	165	71	0
