	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	292	100	294	100	83
CR2	292	0	290	89	290	290
MA1	100	290	0	293	0	142
MA2	294	89	293	0	293	293
MM1	100	290	0	293	0	142
MM2	83	290	142	293	142	0
