	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	135	99	189	200	158
CR2	135	0	178	84	267	230
MA1	99	178	0	133	204	147
MA2	189	84	133	0	271	242
MM1	200	267	204	271	0	213
MM2	158	230	147	242	213	0
