	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	208	197	158	197	228
CR2	208	0	86	203	86	157
MA1	197	86	0	145	0	144
MA2	158	203	145	0	145	192
MM1	197	86	0	145	0	144
MM2	228	157	144	192	144	0
