	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	182	82	169	82	84
CR2	182	0	190	41	190	188
MA1	82	190	0	177	0	102
MA2	169	41	177	0	177	173
MM1	82	190	0	177	0	102
MM2	84	188	102	173	102	0
