	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	322	282	132	292	293
CR2	322	0	150	318	133	141
MA1	282	150	0	281	132	124
MA2	132	318	281	0	286	284
MM1	292	133	132	286	0	148
MM2	293	141	124	284	148	0
