	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	325	316	143	302	309
CR2	325	0	218	347	222	245
MA1	316	218	0	340	188	154
MA2	143	347	340	0	318	329
MM1	302	222	188	318	0	212
MM2	309	245	154	329	212	0
