	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	331	185	316	185	188
CR2	331	0	303	111	303	306
MA1	185	303	0	271	0	3
MA2	316	111	271	0	271	274
MM1	185	303	0	271	0	3
MM2	188	306	3	274	3	0
