	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	230	143	252	143	127
CR2	230	0	205	97	205	201
MA1	143	205	0	226	0	134
MA2	252	97	226	0	226	223
MM1	143	205	0	226	0	134
MM2	127	201	134	223	134	0
