	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	184	64	189	63	56
CR2	184	0	174	19	187	178
MA1	64	174	0	179	51	60
MA2	189	19	179	0	192	183
MM1	63	187	51	192	0	59
MM2	56	178	60	183	59	0
