	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	271	228	177	172	52
CR2	271	0	185	282	283	264
MA1	228	185	0	132	212	200
MA2	177	282	132	0	167	159
MM1	172	283	212	167	0	153
MM2	52	264	200	159	153	0
