	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	184	54	183	194	183
CR2	184	0	198	94	82	94
MA1	54	198	0	195	208	195
MA2	183	94	195	0	89	0
MM1	194	82	208	89	0	89
MM2	183	94	195	0	89	0
