	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	340	292	77	356	338
CR2	340	0	54	322	209	6
MA1	292	54	0	268	245	52
MA2	77	322	268	0	340	320
MM1	356	209	245	340	0	205
MM2	338	6	52	320	205	0
