	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	131	158	249	125	122
CR2	131	0	186	124	191	162
MA1	158	186	0	246	161	78
MA2	249	124	246	0	234	242
MM1	125	191	161	234	0	143
MM2	122	162	78	242	143	0
