	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	285	269	170	101	163
CR2	285	0	158	279	280	298
MA1	269	158	0	224	268	285
MA2	170	279	224	0	155	162
MM1	101	280	268	155	0	158
MM2	163	298	285	162	158	0
