	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	409	173	401	184	197
CR2	409	0	392	56	444	443
MA1	173	392	0	378	184	202
MA2	401	56	378	0	430	431
MM1	184	444	184	430	0	215
MM2	197	443	202	431	215	0
