	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	133	136	57	44	51
CR2	133	0	36	130	130	132
MA1	136	36	0	129	128	131
MA2	57	130	129	0	46	58
MM1	44	130	128	46	0	48
MM2	51	132	131	58	48	0
