	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	116	108	25	108	108
CR2	116	0	48	107	48	48
MA1	108	48	0	99	34	0
MA2	25	107	99	0	99	99
MM1	108	48	34	99	0	34
MM2	108	48	0	99	34	0
