	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	195	209	125	148	125
CR2	195	0	72	198	192	198
MA1	209	72	0	210	198	210
MA2	125	198	210	0	159	0
MM1	148	192	198	159	0	159
MM2	125	198	210	0	159	0
