	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	272	275	120	0	129
CR2	272	0	55	259	272	267
MA1	275	55	0	261	275	267
MA2	120	259	261	0	120	120
MM1	0	272	275	120	0	129
MM2	129	267	267	120	129	0
