	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	176	63	180	63	84
CR2	176	0	185	62	185	180
MA1	63	185	0	193	0	77
MA2	180	62	193	0	193	186
MM1	63	185	0	193	0	77
MM2	84	180	77	186	77	0
