	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	296	152	286	150	150
CR2	296	0	281	114	293	293
MA1	152	281	0	278	132	130
MA2	286	114	278	0	287	287
MM1	150	293	132	287	0	2
MM2	150	293	130	287	2	0
