	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	307	0	305	0	123
CR2	307	0	307	73	307	302
MA1	0	307	0	305	0	123
MA2	305	73	305	0	305	301
MM1	0	307	0	305	0	123
MM2	123	302	123	301	123	0
