	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	219	222	65	65	75
CR2	219	0	50	210	210	206
MA1	222	50	0	213	213	209
MA2	65	210	213	0	0	80
MM1	65	210	213	0	0	80
MM2	75	206	209	80	80	0
