	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	156	166	65	166	166
CR2	156	0	102	161	88	102
MA1	166	102	0	171	102	0
MA2	65	161	171	0	168	171
MM1	166	88	102	168	0	102
MM2	166	102	0	171	102	0
