	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	157	91	159	90	82
CR2	157	0	157	64	164	165
MA1	91	157	0	157	85	106
MA2	159	64	157	0	165	167
MM1	90	164	85	165	0	101
MM2	82	165	106	167	101	0
