	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	263	119	214	119	155
CR2	263	0	272	164	272	276
MA1	119	272	0	169	0	141
MA2	214	164	169	0	169	205
MM1	119	272	0	169	0	141
MM2	155	276	141	205	141	0
