	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	283	261	82	261	292
CR2	283	0	144	288	144	129
MA1	261	144	0	266	0	129
MA2	82	288	266	0	266	294
MM1	261	144	0	266	0	129
MM2	292	129	129	294	129	0
