	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	247	225	88	236	244
CR2	247	0	157	247	162	141
MA1	225	157	0	232	140	150
MA2	88	247	232	0	238	241
MM1	236	162	140	238	0	128
MM2	244	141	150	241	128	0
