	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	129	129	54	54	61
CR2	129	0	26	127	127	130
MA1	129	26	0	127	127	130
MA2	54	127	127	0	0	63
MM1	54	127	127	0	0	63
MM2	61	130	130	63	63	0
