	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	121	152	79	139	152
CR2	121	0	92	166	88	92
MA1	152	92	0	189	70	0
MA2	79	166	189	0	176	189
MM1	139	88	70	176	0	70
MM2	152	92	0	189	70	0
