	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	119	78	118	78	83
CR2	119	0	112	11	112	116
MA1	78	112	0	110	0	61
MA2	118	11	110	0	110	117
MM1	78	112	0	110	0	61
MM2	83	116	61	117	61	0
