	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	204	60	202	211	202
CR2	204	0	214	104	101	104
MA1	60	214	0	213	221	213
MA2	202	104	213	0	83	0
MM1	211	101	221	83	0	83
MM2	202	104	213	0	83	0
