	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	285	151	276	151	137
CR2	285	0	292	65	292	275
MA1	151	292	0	279	0	127
MA2	276	65	279	0	279	266
MM1	151	292	0	279	0	127
MM2	137	275	127	266	127	0
