	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	346	110	346	144	111
CR2	346	0	330	0	341	341
MA1	110	330	0	330	139	113
MA2	346	0	330	0	341	341
MM1	144	341	139	341	0	126
MM2	111	341	113	341	126	0
